                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2255,                 3.6881,                 1.3344,                0.00329,                0.98765,                0.43191,                0.31474,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.90055,                 2.3047,                 1.0381,                      1,                0.29218,                0.92391,                0.75398,                      0,                    inf,                      0,               0.068361,              0.0033614,              0.0033614
                      2,                0.92826,                 1.6006,                  1.047,                      1,                 0.1972,                0.92804,                0.65946,                      0,                    inf,                      0,                0.05188,              0.0048802,              0.0048802
                      3,                 0.9714,                 1.3286,                 1.0349,                      1,                0.46409,                0.91474,                0.68735,                      0,                    inf,                      0,               0.035257,              0.0062565,              0.0062565
                      4,                 1.0215,                 1.2466,                 1.0757,                      1,                 0.7655,                0.95692,                0.72338,                      0,                    inf,                      0,                0.01849,              0.0074902,              0.0074902
                      5,                0.98794,                 1.2165,                 1.0939,                0.93916,                0.92593,                0.97278,                0.71941,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      6,                  1.021,                 1.1738,                  1.087,                0.95768,                0.88889,                0.96366,                0.76353,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      7,                0.91654,                 1.1318,                 1.0538,                0.93964,                0.96104,                0.97643,                0.76164,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                      8,                0.91173,                 1.0348,                 1.0422,                0.97136,                0.93827,                0.97417,                0.74319,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                      9,                0.95984,                 1.0296,                  1.059,                0.91479,                0.92782,                0.96296,                0.76156,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     10,                0.89242,                0.97845,                 1.0412,                0.97385,                 0.9197,                0.97572,                 0.7779,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     11,                0.90699,                0.99147,                 1.0524,                0.90841,                 0.9796,                 0.9756,                0.77645,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     12,                0.86762,                0.91264,                 1.0328,                0.94313,                0.96296,                0.97632,                0.76725,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     13,                0.85688,                0.86211,                 1.0211,                 0.9501,                0.98765,                0.97782,                0.79721,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     14,                0.83804,                0.83568,                 1.0062,                0.94541,                0.98765,                0.97383,                0.79567,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     15,                0.80058,                0.84581,                0.97807,                0.97204,                0.97531,                0.97905,                0.81641,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     16,                0.75519,                0.77052,                0.97902,                0.99682,                0.93827,                0.98071,                0.80705,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     17,                0.75971,                0.76706,                0.96734,                0.97724,                0.96296,                0.98346,                0.82884,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     18,                 0.7516,                0.70719,                 0.9574,                      1,                0.98413,                 0.9852,                0.81454,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     19,                0.70721,                0.71038,                0.94229,                0.98299,                0.97531,                0.98477,                0.82571,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     20,                0.73661,                0.69014,                0.93506,                      1,                0.98548,                0.98515,                 0.8254,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     21,                0.68609,                0.66306,                 0.9218,                0.99925,                0.98765,                0.98508,                0.82796,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     22,                0.65804,                 0.6114,                0.93296,                0.99771,                0.98765,                 0.9852,                 0.8295,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     23,                0.63796,                0.60892,                0.90209,                0.99619,                0.98765,                 0.9851,                0.82088,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     24,                0.61696,                0.58579,                0.90575,                0.99902,                0.98765,                0.98511,                0.84784,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
